Date,Open,High,Low,Close,Adj Close,Volume
02-11-2021,460.220001,462.230011,460.079987,461.899994,452.934784,48908400
03-11-2021,461.299988,465.149994,460.829987,464.720001,455.700073,52509800
04-11-2021,465.359985,467,464.98999,466.910004,457.847565,52847100
05-11-2021,469.279999,470.649994,466.920013,468.529999,459.436127,66390600
08-11-2021,469.700012,470.230011,468.200012,468.929993,459.828339,50405200
09-11-2021,469.320007,469.570007,465.880005,467.380005,458.308441,51149100
10-11-2021,465.579987,467.380005,462.040009,463.619995,454.621429,69429700
11-11-2021,465.209991,465.290009,463.75,463.769989,454.768524,34848500
12-11-2021,465.119995,467.859985,464.109985,467.269989,458.200592,53466700
15-11-2021,468.640015,468.809998,466.230011,467.429993,458.357422,46980500
16-11-2021,467.149994,470.48999,467.070007,469.279999,460.17157,48857500
17-11-2021,469,469.190002,467.480011,468.140015,459.053741,47858300
18-11-2021,469.23999,470.01001,466.339996,469.730011,460.612823,50625600
19-11-2021,469.609985,470.940002,468.5,468.890015,459.789154,57315600
22-11-2021,470.890015,473.540009,467.350006,467.570007,458.494781,72762000
23-11-2021,467.220001,469.100006,464.450012,468.190002,459.102753,73206500
24-11-2021,466.059998,469.570007,465.190002,469.440002,460.328461,61858800
26-11-2021,462.339996,463.899994,457.769989,458.970001,450.061676,112669600
29-11-2021,464.070007,466.559998,461.730011,464.600006,455.582428,86268800
30-11-2021,462,464.029999,455.299988,455.559998,446.717865,148559600
01-12-2021,461.640015,464.670013,450.290009,450.5,441.756073,131939200
02-12-2021,450.730011,459.070007,450.309998,457.399994,448.522125,127637800
03-12-2021,459.170013,460.299988,448.920013,453.420013,444.619415,137331600
06-12-2021,456.130005,460.790009,453.559998,458.790009,449.885162,98977500
07-12-2021,464.410004,468.880005,458.649994,468.279999,459.19101,95484700
08-12-2021,468.700012,470,466.829987,469.519989,460.406891,72238800
09-12-2021,468.149994,469.630005,466.140015,466.350006,457.298462,61272600
10-12-2021,469.230011,470.899994,466.51001,470.73999,461.60318,77159800
13-12-2021,470.190002,470.559998,466.269989,466.570007,457.51416,87724700
14-12-2021,463.089996,465.73999,460.25,463.359985,454.366455,97264100
15-12-2021,463.420013,470.859985,460.73999,470.600006,461.465942,116899300
16-12-2021,472.570007,472.869995,464.799988,466.450012,457.396484,116568600
17-12-2021,461.549988,464.73999,458.059998,459.869995,452.528503,135511600
20-12-2021,454.480011,455.399994,451.140015,454.980011,447.716553,107134800
21-12-2021,458.609985,463.209991,456.309998,463.059998,455.667572,69806300
22-12-2021,462.790009,467.809998,462.579987,467.690002,460.223663,58890200
23-12-2021,468.75,472.190002,468.640015,470.600006,463.087219,56439700
27-12-2021,472.059998,477.309998,472.01001,477.26001,469.6409,56808600
28-12-2021,477.720001,478.809998,476.059998,476.869995,469.25705,47274600
29-12-2021,476.980011,478.559998,475.920013,477.480011,469.857361,54503000
30-12-2021,477.929993,479,475.670013,476.160004,468.558441,55329000
31-12-2021,475.640015,476.859985,474.670013,474.959991,467.377563,65237400
03-01-2022,476.299988,477.850006,473.850006,477.709991,470.083679,72668200
04-01-2022,479.220001,479.980011,475.579987,477.549988,469.926239,71178700
05-01-2022,477.160004,477.980011,468.279999,468.380005,460.902649,104538900
06-01-2022,467.890015,470.820007,465.429993,467.940002,460.469696,86858900
07-01-2022,467.950012,469.200012,464.649994,466.089996,458.649231,85111600
10-01-2022,462.700012,465.73999,456.600006,465.51001,458.07843,119362000
11-01-2022,465.230011,469.850006,462.049988,469.75,462.250793,74303100
12-01-2022,471.589996,473.200012,468.940002,471.019989,463.500488,67605400
13-01-2022,472.190002,472.880005,463.440002,464.529999,457.114075,91173100
14-01-2022,461.190002,465.089996,459.899994,464.720001,457.301056,95890900
18-01-2022,459.73999,459.959991,455.309998,456.48999,449.202454,109709100
19-01-2022,458.130005,459.609985,451.459991,451.75,444.538116,109357600
20-01-2022,453.75,458.73999,444.5,446.75,439.61792,122379700
21-01-2022,445.559998,448.059998,437.950012,437.980011,430.987946,202271200
24-01-2022,432.029999,440.380005,420.76001,439.839996,432.818237,251783900
25-01-2022,433.059998,439.720001,427.149994,434.470001,427.533997,167997300
26-01-2022,440.720001,444.040009,428.859985,433.380005,426.461395,186391100
27-01-2022,438.26001,441.589996,429.450012,431.23999,424.35553,149878300
28-01-2022,432.679993,442,427.820007,441.950012,434.894592,164457400
31-01-2022,441.23999,450.279999,439.809998,449.910004,442.727478,152251400
